date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:21:01	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2020%20May%202017%2007:51:01%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.googletagmanager.com/gtm.1c5445.delayed	(from http://www.galgotiasuniversity.edu.in/)
13:21:01	29906/29906	---MC-	200	added ('OK')	text/javascript	date:Thu,%2004%20May%202017%2001:31:56%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.google-analytics.com/analytics.js	(from http://www.galgotiasuniversity.edu.in/)
13:21:02	2818/2818	---M--	200	added ('OK')	image/png	etag:%2286f38def8cd21:0%22	http://www.galgotiasuniversity.edu.in/images/apply-online-geee2017.png	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/images/apply-online-geee2017.png	(from http://www.galgotiasuniversity.edu.in/)
13:21:03	1643/1643	---M--	200	added ('OK')	image/jpeg	etag:%22a026388fedb8d21:0%22	http://www.galgotiasuniversity.edu.in/images/right-apply-online-th.jpg	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/images/right-apply-online-th.jpg	(from http://www.galgotiasuniversity.edu.in/)
13:21:04	6473/6473	---M--	200	added ('OK')	image/gif	etag:%22649a235a6d6ad21:0%22	http://www.galgotiasuniversity.edu.in/images/apply-b-right.gif	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/images/apply-b-right.gif	(from http://www.galgotiasuniversity.edu.in/)
13:21:04	2200/2200	---M--	200	added ('OK')	image/png	etag:%22a53c5e8fedb8d21:0%22	http://www.galgotiasuniversity.edu.in/images/gu-lat-flag.png	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/images/gu-lat-flag.png	(from http://www.galgotiasuniversity.edu.in/)
13:21:05	2369/2369	---M--	200	added ('OK')	image/png	etag:%228f51e391edb8d21:0%22	http://www.galgotiasuniversity.edu.in/images/gu-mat-flag.png	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/images/gu-mat-flag.png	(from http://www.galgotiasuniversity.edu.in/)
13:21:06	3125/3125	---M--	200	added ('OK')	image/png	etag:%2220e955cf3bced21:0%22	http://www.galgotiasuniversity.edu.in/images/admission-prospect-17-18-th.png	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/images/admission-prospect-17-18-th.png	(from http://www.galgotiasuniversity.edu.in/)
13:21:08	59040/59040	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:06%20GMT	http://www.galgotiasuniversity.edu.in/mc-graw-hill-eduction.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/mc-graw-hill-eduction.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:09	8828/8828	---M--	200	added ('OK')	image/jpeg	etag:%223e8376814bd21:0%22	http://www.galgotiasuniversity.edu.in/images/mc-graw-hill-button1.jpg	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/images/mc-graw-hill-button1.jpg	(from http://www.galgotiasuniversity.edu.in/)
